employee_id,firstname,lastname,age,gender,maritalstatus,department,jobrole,monthlyincome,educationlevel,hiredate,employmentstatus,managerid,businesstravel,overtime,presence_score,total_hours,late_count,overtime_count,eng_survey_id,eng_q_work_life_balance,eng_q_manager_support,eng_q_growth_opportunity,eng_q_recognition,eng_year,eng_month,perf_review_date,perf_review_cycle,perf_overall_rating,perf_goals_score,perf_manager_score,perf_potential_rating,perf_bonus_percentage,perf_promotion_recommendation,perf_year,perf_quarter
21,Emp21,LN21,57,Female,Single,Engineering,Software Engineer,6833,High School,2009-06-07,Leave of Absence,112.0,Non-Travel,No,0.0,2065.21,26.0,109.0,10071.0,3.0,1.0,4.0,1.0,2021.0,1.0,2023-06-15,Mid-Year,3.0,2.54,2.54,Medium,6.0,Yes,2023.0,2.0
22,Emp22,LN22,51,Female,Divorced,Sales,Account Manager,9625,PhD,2013-02-23,Active,108.0,Travel_Frequently,No,0.0,2119.58,28.0,128.0,10072.5,4.5,3.0,3.0,3.0,2022.0,9.0,2023-06-15,Mid-Year,3.0,3.04,2.17,Medium,6.0,No,2023.0,2.0
23,Emp23,LN23,33,Nonbinary,Divorced,Marketing,Marketing Analyst,9508,Associate's,2011-05-30,Active,43.0,Travel_Frequently,Yes,0.0,2125.85,29.0,130.0,10074.5,3.5,1.5,2.5,2.5,2022.0,8.0,2023-06-15,Mid-Year,2.0,1.95,1.0,High,3.0,No,2023.0,2.0
24,Emp24,LN24,31,Nonbinary,Single,R&D,Lab Technician,11149,High School,2005-07-05,Active,66.0,Travel_Frequently,Yes,0.0,2136.3,24.0,132.0,10078.0,3.2,3.4,2.2,3.0,2022.0,9.0,2023-06-15,Mid-Year,3.0,2.61,2.88,High,6.0,No,2023.0,2.0
25,Emp25,LN25,41,Female,Divorced,R&D,Principal Researcher,7032,High School,2008-12-04,Terminated,40.0,Travel_Frequently,No,0.0,0.0,0.0,0.0,10082.0,2.6666666666666665,4.666666666666667,2.6666666666666665,3.3333333333333335,2022.0,8.666666666666666,,,0.0,0.0,0.0,,0.0,,0.0,0.0
26,Emp26,LN26,50,Nonbinary,Divorced,Sales,Account Manager,8024,PhD,2016-01-09,Terminated,105.0,Travel_Rarely,No,0.0,2088.09,24.0,118.0,10086.5,4.0,2.5,3.1666666666666665,3.1666666666666665,2022.0,7.833333333333333,2023-06-15,Mid-Year,3.0,2.24,2.75,Medium,6.0,Yes,2023.0,2.0
27,Emp27,LN27,23,Nonbinary,Married,It,Systems Admin,18878,Master's,2018-09-16,Terminated,118.0,Travel_Frequently,No,0.0,2177.63,36.0,140.0,10091.5,2.75,1.75,3.25,1.75,2021.75,8.0,2023-06-15,Mid-Year,3.0,1.95,2.36,Medium,6.0,No,2023.0,2.0
28,Emp28,LN28,25,Male,Married,R&D,Principal Researcher,15960,PhD,2010-05-19,Leave of Absence,58.0,Non-Travel,No,0.0,2092.64,30.0,114.0,10094.0,1.0,4.0,4.0,2.0,2021.0,7.0,2023-06-15,Mid-Year,1.0,1.39,1.0,Medium,0.0,No,2023.0,2.0
29,Emp29,LN29,56,Nonbinary,Married,Customer Success,Customer Success Manager,8974,High School,2013-04-26,Leave of Absence,6.0,Travel_Rarely,Yes,0.0,0.0,0.0,0.0,10095.0,1.0,2.0,2.0,1.0,2021.0,12.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0
30,Emp30,LN30,26,Female,Married,Engineering,Data Engineer,10561,PhD,2021-06-24,Active,62.0,Travel_Rarely,Yes,0.0,2148.82,28.0,131.0,10097.0,2.6666666666666665,1.6666666666666667,2.6666666666666665,2.0,2021.6666666666667,5.0,2023-06-15,Mid-Year,4.0,3.98,2.75,Medium,10.0,No,2023.0,2.0
31,Emp31,LN31,39,Nonbinary,Divorced,Customer Success,Customer Success Manager,5238,Bachelor's,2022-01-24,Active,94.0,Travel_Rarely,No,0.0,2147.4,23.0,130.0,10100.0,3.0,4.0,2.0,4.333333333333333,2022.3333333333333,7.666666666666667,2023-06-15,Mid-Year,3.0,2.43,1.88,Medium,6.0,No,2023.0,2.0
32,Emp32,LN32,55,Female,Single,Customer Success,Customer Success Manager,4467,Bachelor's,2008-01-02,Active,73.0,Non-Travel,No,0.0,2164.38,23.0,129.0,10102.5,3.5,4.5,3.0,3.5,2022.0,4.5,2023-06-15,Mid-Year,1.0,1.47,1.0,Low,0.0,No,2023.0,2.0
33,Emp33,LN33,30,Female,Divorced,Human Resources,Recruiter,11449,PhD,2009-05-30,Leave of Absence,25.0,Non-Travel,No,0.0,2111.83,29.0,113.0,10104.5,4.0,3.0,3.5,3.0,2022.0,10.5,2023-06-15,Mid-Year,4.0,3.03,3.7,High,10.0,No,2023.0,2.0
34,Emp34,LN34,45,Male,Married,R&D,Principal Researcher,11965,PhD,2019-12-19,Leave of Absence,81.0,Travel_Rarely,Yes,0.0,0.0,0.0,0.0,10107.0,2.3333333333333335,3.6666666666666665,1.6666666666666667,2.3333333333333335,2022.6666666666667,6.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0
35,Emp35,LN35,32,Male,Single,Human Resources,HR Manager,6844,High School,2010-08-10,Leave of Absence,1.0,Travel_Frequently,No,0.0,2156.2,24.0,115.0,10109.0,5.0,1.0,5.0,5.0,2023.0,10.0,2023-06-15,Mid-Year,5.0,4.21,4.55,Medium,15.0,No,2023.0,2.0
36,Emp36,LN36,60,Nonbinary,Divorced,Engineering,Software Engineer,16459,Bachelor's,2009-06-14,Terminated,40.0,Travel_Frequently,No,0.0,2133.19,24.0,132.0,10110.0,1.0,2.0,2.0,5.0,2022.0,10.0,2023-06-15,Mid-Year,3.0,2.09,3.11,High,6.0,No,2023.0,2.0
37,Emp37,LN37,21,Male,Divorced,Finance,Finance Manager,8163,PhD,2008-12-09,Active,78.0,Travel_Frequently,Yes,0.0,0.0,0.0,0.0,10111.0,3.0,3.0,5.0,4.0,2023.0,8.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0
38,Emp38,LN38,53,Nonbinary,Divorced,Customer Success,Customer Success Manager,12557,High School,2014-02-06,Terminated,107.0,Travel_Frequently,No,0.0,2140.42,32.0,129.0,10113.5,2.5,2.25,3.75,3.5,2021.75,3.0,2023-06-15,Mid-Year,3.0,2.56,1.9,Medium,6.0,Yes,2023.0,2.0
39,Emp39,LN39,32,Male,Married,Finance,Financial Analyst,9276,Master's,2017-09-25,Leave of Absence,86.0,Travel_Frequently,Yes,0.0,2087.33,26.0,118.0,10116.0,5.0,5.0,3.0,1.0,2022.0,4.0,2023-06-15,Mid-Year,3.0,3.1,3.27,Medium,6.0,No,2023.0,2.0
40,Emp40,LN40,33,Female,Single,Engineering,DevOps Engineer,18542,High School,2009-02-14,Leave of Absence,17.0,Non-Travel,No,0.0,2125.26,28.0,128.0,10118.5,3.5,3.75,3.0,2.75,2021.0,4.5,2023-06-15,Mid-Year,2.0,2.53,2.78,High,3.0,Yes,2023.0,2.0
41,Emp41,LN41,45,Nonbinary,Divorced,Finance,Finance Manager,5621,PhD,2013-03-31,Active,93.0,Travel_Rarely,No,0.0,2050.41,26.0,103.0,10122.0,3.6666666666666665,2.6666666666666665,4.0,3.3333333333333335,2021.6666666666667,9.666666666666666,2023-06-15,Mid-Year,3.0,1.95,2.39,Low,6.0,No,2023.0,2.0
42,Emp42,LN42,27,Male,Single,Operations,Logistics Coordinator,16275,Associate's,2008-04-19,Active,110.0,Non-Travel,Yes,0.0,2128.06,30.0,126.0,10126.0,2.8,2.0,2.0,2.6,2021.6,5.8,2023-06-15,Mid-Year,3.0,2.68,3.37,Medium,6.0,No,2023.0,2.0
43,Emp43,LN43,42,Nonbinary,Divorced,Human Resources,Recruiter,9097,Bachelor's,2010-11-15,Terminated,14.0,Travel_Frequently,No,0.0,0.0,0.0,0.0,10130.5,3.75,2.25,3.75,3.75,2022.0,8.25,,,0.0,0.0,0.0,,0.0,,0.0,0.0
44,Emp44,LN44,55,Male,Divorced,R&D,Principal Researcher,10278,Bachelor's,2005-09-04,Active,92.0,Travel_Rarely,Yes,0.0,0.0,0.0,0.0,10133.0,3.0,3.0,2.0,4.0,2022.0,9.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0
45,Emp45,LN45,39,Male,Divorced,Engineering,Data Engineer,8544,Master's,2006-12-13,Active,91.0,Travel_Rarely,No,0.0,2075.33,25.0,116.0,10135.0,2.3333333333333335,3.3333333333333335,3.0,2.0,2021.6666666666667,4.666666666666667,2023-06-15,Mid-Year,4.0,3.54,2.98,Medium,10.0,No,2023.0,2.0
46,Emp46,LN46,22,Female,Divorced,Finance,Finance Manager,19845,Associate's,2014-11-08,Leave of Absence,132.0,Travel_Frequently,No,0.0,2123.91,22.0,133.0,10138.5,3.25,2.75,3.25,2.0,2021.75,5.25,2023-06-15,Mid-Year,3.0,2.66,2.59,Medium,6.0,No,2023.0,2.0
47,Emp47,LN47,37,Nonbinary,Divorced,Human Resources,Recruiter,13085,Bachelor's,2008-03-30,Leave of Absence,39.0,Travel_Frequently,No,0.0,2128.88,31.0,128.0,10143.5,2.1666666666666665,2.3333333333333335,3.5,3.1666666666666665,2022.1666666666667,5.833333333333333,2023-06-15,Mid-Year,3.0,2.74,1.3,Low,6.0,No,2023.0,2.0
48,Emp48,LN48,32,Nonbinary,Single,Operations,Logistics Coordinator,16704,High School,2007-05-13,Terminated,63.0,Travel_Rarely,Yes,0.0,0.0,0.0,0.0,10149.5,3.8333333333333335,3.6666666666666665,2.1666666666666665,2.1666666666666665,2022.3333333333333,4.333333333333333,,,0.0,0.0,0.0,,0.0,,0.0,0.0
49,Emp49,LN49,26,Nonbinary,Divorced,It,Network Engineer,16396,Master's,2006-02-27,Leave of Absence,15.0,Travel_Rarely,Yes,0.0,2146.9,27.0,128.0,10156.0,2.7142857142857144,2.7142857142857144,4.0,3.2857142857142856,2021.5714285714287,5.857142857142857,2023-06-15,Mid-Year,4.0,3.06,3.9,High,10.0,No,2023.0,2.0
50,Emp50,LN50,39,Nonbinary,Married,It,IT Support,12452,Bachelor's,2015-09-11,Leave of Absence,9.0,Travel_Frequently,No,0.0,0.0,0.0,0.0,10160.5,4.0,2.5,2.5,2.0,2021.5,7.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0
51,Emp51,LN51,31,Female,Divorced,Finance,Finance Manager,12821,Bachelor's,2015-02-25,Active,97.0,Travel_Rarely,No,0.0,2104.95,23.0,132.0,10164.5,3.3333333333333335,3.0,3.0,2.8333333333333335,2021.6666666666667,8.166666666666666,2023-06-15,Mid-Year,3.0,2.83,3.01,Medium,6.0,No,2023.0,2.0
52,Emp52,LN52,22,Female,Married,Finance,Accountant,6256,Associate's,2022-02-14,Terminated,23.0,Non-Travel,Yes,0.0,2130.37,19.0,114.0,10169.5,3.0,3.5,2.25,3.5,2021.0,7.0,2023-06-15,Mid-Year,3.0,2.74,3.17,Medium,6.0,Yes,2023.0,2.0
53,Emp53,LN53,57,Female,Divorced,Finance,Financial Analyst,6517,Associate's,2006-02-12,Active,44.0,Travel_Frequently,No,0.0,2088.31,23.0,106.0,10172.0,5.0,5.0,2.0,5.0,2023.0,4.0,2023-06-15,Mid-Year,3.0,1.0,2.92,Low,6.0,No,2023.0,2.0
54,Emp54,LN54,24,Male,Divorced,Engineering,DevOps Engineer,5487,Master's,2011-06-25,Active,12.0,Non-Travel,No,0.0,2106.92,16.0,120.0,10173.5,3.0,1.5,1.0,2.5,2022.0,8.5,2023-06-15,Mid-Year,4.0,3.52,3.02,Medium,10.0,No,2023.0,2.0
55,Emp55,LN55,30,Male,Single,Operations,Logistics Coordinator,16864,Associate's,2005-12-08,Terminated,47.0,Non-Travel,Yes,0.0,2121.3,29.0,123.0,10177.0,1.8,2.2,3.0,3.2,2022.4,6.4,2023-06-15,Mid-Year,2.0,1.76,2.26,Medium,3.0,No,2023.0,2.0
56,Emp56,LN56,37,Nonbinary,Married,Human Resources,Recruiter,4593,Associate's,2019-04-18,Leave of Absence,87.0,Travel_Rarely,No,0.0,2096.36,12.0,124.0,10180.5,1.0,1.5,2.5,3.0,2021.5,6.0,2023-06-15,Mid-Year,3.0,2.81,1.93,High,6.0,No,2023.0,2.0
57,Emp57,LN57,41,Male,Married,It,Systems Admin,16759,Associate's,2018-09-01,Terminated,49.0,Non-Travel,Yes,0.0,2102.01,23.0,131.0,10182.0,4.0,3.0,4.0,3.0,2021.0,12.0,2023-06-15,Mid-Year,5.0,4.43,3.64,High,15.0,No,2023.0,2.0
58,Emp58,LN58,48,Male,Single,Engineering,Data Engineer,19302,PhD,2020-06-27,Active,123.0,Travel_Rarely,No,0.0,2085.55,22.0,124.0,10184.0,2.6666666666666665,3.0,3.3333333333333335,2.0,2021.6666666666667,4.333333333333333,2023-06-15,Mid-Year,3.0,2.46,1.93,Low,6.0,No,2023.0,2.0
59,Emp59,LN59,31,Female,Married,Customer Success,Support Associate,5041,PhD,2008-02-01,Leave of Absence,111.0,Travel_Frequently,No,0.0,0.0,0.0,0.0,10187.0,3.0,2.0,2.3333333333333335,3.3333333333333335,2021.6666666666667,3.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0
60,Emp60,LN60,40,Male,Single,Engineering,Data Engineer,14363,High School,2020-06-20,Active,70.0,Travel_Rarely,No,0.0,2174.53,26.0,127.0,10190.0,2.6666666666666665,4.666666666666667,1.6666666666666667,4.0,2021.6666666666667,4.0,2023-06-15,Mid-Year,2.0,2.04,1.7,Medium,3.0,Yes,2023.0,2.0
61,Emp61,LN61,58,Female,Divorced,R&D,Research Scientist,16008,Bachelor's,2008-06-16,Terminated,5.0,Travel_Rarely,No,0.0,2137.22,24.0,117.0,10192.5,3.0,3.5,3.0,2.5,2021.0,6.5,2023-06-15,Mid-Year,4.0,3.14,3.25,Medium,10.0,No,2023.0,2.0
62,Emp62,LN62,38,Nonbinary,Divorced,Engineering,Software Engineer,14037,High School,2013-06-16,Leave of Absence,85.0,Non-Travel,No,0.0,2135.5,24.0,140.0,10194.5,1.5,2.0,3.0,4.0,2022.0,6.5,2023-06-15,Mid-Year,3.0,2.37,1.93,Medium,6.0,No,2023.0,2.0
63,Emp63,LN63,54,Female,Single,Engineering,DevOps Engineer,15984,Master's,2005-12-11,Leave of Absence,80.0,Non-Travel,Yes,0.0,2175.06,22.0,130.0,10198.0,2.6,3.6,3.2,2.6,2022.0,4.6,2023-06-15,Mid-Year,3.0,1.83,2.93,Medium,6.0,No,2023.0,2.0
64,Emp64,LN64,36,Male,Married,Operations,Operations Analyst,15061,Associate's,2007-05-04,Terminated,55.0,Travel_Frequently,No,0.0,2082.06,22.0,116.0,10203.5,3.8333333333333335,2.0,2.1666666666666665,4.0,2022.1666666666667,8.0,2023-06-15,Mid-Year,3.0,2.66,3.55,Low,6.0,No,2023.0,2.0
65,Emp65,LN65,35,Male,Divorced,Human Resources,HR Manager,17605,PhD,2012-04-08,Active,24.0,Non-Travel,Yes,0.0,2108.36,19.0,125.0,10208.5,3.0,4.25,2.25,1.25,2022.0,7.5,2023-06-15,Mid-Year,3.0,2.01,2.66,Medium,6.0,No,2023.0,2.0
66,Emp66,LN66,28,Nonbinary,Married,R&D,Lab Technician,18271,PhD,2013-10-25,Active,34.0,Non-Travel,No,0.0,0.0,0.0,0.0,10212.0,2.6666666666666665,3.6666666666666665,4.333333333333333,2.3333333333333335,2021.6666666666667,7.666666666666667,,,0.0,0.0,0.0,,0.0,,0.0,0.0
67,Emp67,LN67,27,Nonbinary,Single,Engineering,Data Engineer,8177,High School,2020-10-14,Terminated,92.0,Travel_Frequently,No,0.0,0.0,0.0,0.0,10214.5,3.0,4.0,2.5,3.5,2022.5,10.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0
68,Emp68,LN68,29,Male,Married,Engineering,Software Engineer,12504,Master's,2005-10-28,Active,144.0,Travel_Rarely,Yes,0.0,2127.75,19.0,127.0,10218.5,2.1666666666666665,2.3333333333333335,2.5,3.3333333333333335,2022.1666666666667,7.333333333333333,2023-06-15,Mid-Year,3.0,2.22,2.07,Low,6.0,No,2023.0,2.0
69,Emp69,LN69,56,Male,Divorced,Human Resources,HR Manager,17376,Associate's,2019-06-02,Terminated,7.0,Travel_Rarely,Yes,0.0,0.0,0.0,0.0,10224.0,1.8,2.8,2.6,3.6,2022.2,6.2,,,0.0,0.0,0.0,,0.0,,0.0,0.0
70,Emp70,LN70,33,Female,Single,Engineering,Software Engineer,14518,Associate's,2006-08-02,Terminated,68.0,Travel_Frequently,No,0.0,2102.83,27.0,110.0,10229.0,3.4,2.4,3.8,2.8,2022.0,6.6,2023-06-15,Mid-Year,1.0,1.3,1.0,Medium,0.0,No,2023.0,2.0
71,Emp71,LN71,26,Female,Married,Marketing,Brand Manager,18984,PhD,2018-12-25,Terminated,145.0,Non-Travel,No,0.0,0.0,0.0,0.0,10232.5,3.0,3.5,3.0,4.0,2022.5,3.5,,,0.0,0.0,0.0,,0.0,,0.0,0.0
72,Emp72,LN72,57,Male,Single,Sales,Sales Representative,8509,PhD,2011-04-19,Leave of Absence,73.0,Travel_Rarely,Yes,0.0,2113.71,21.0,118.0,10234.0,5.0,2.0,3.0,4.0,2022.0,12.0,2023-06-15,Mid-Year,3.0,2.76,2.25,Medium,6.0,No,2023.0,2.0
73,Emp73,LN73,28,Male,Divorced,Human Resources,HR Specialist,7789,High School,2008-01-07,Active,103.0,Travel_Rarely,Yes,0.0,2146.8,25.0,136.0,10237.0,3.0,2.8,2.8,2.2,2021.6,4.6,2023-06-15,Mid-Year,2.0,1.94,1.52,Medium,3.0,No,2023.0,2.0
74,Emp74,LN74,37,Nonbinary,Single,Operations,Operations Analyst,10971,Associate's,2010-12-25,Leave of Absence,121.0,Non-Travel,No,0.0,2123.8,27.0,131.0,10241.5,5.0,3.25,3.5,2.0,2022.5,9.0,2023-06-15,Mid-Year,3.0,2.2,1.98,Medium,6.0,No,2023.0,2.0
75,Emp75,LN75,29,Female,Married,Marketing,SEO Specialist,6809,PhD,2022-01-29,Leave of Absence,31.0,Travel_Frequently,Yes,0.0,2109.44,30.0,112.0,10244.5,5.0,3.0,4.0,5.0,2022.5,6.5,2023-06-15,Mid-Year,2.0,1.69,1.88,Low,3.0,No,2023.0,2.0
76,Emp76,LN76,55,Nonbinary,Married,Marketing,Brand Manager,10311,Master's,2014-01-02,Active,50.0,Travel_Frequently,No,0.0,2129.76,28.0,130.0,10247.5,2.5,2.5,2.75,4.0,2021.25,4.0,2023-06-15,Mid-Year,1.0,1.0,1.0,Medium,0.0,No,2023.0,2.0
77,Emp77,LN77,33,Male,Married,R&D,Research Scientist,18370,Master's,2012-07-29,Terminated,103.0,Travel_Frequently,Yes,0.0,2071.55,19.0,112.0,10251.5,3.75,3.75,2.5,3.0,2021.0,4.0,2023-06-15,Mid-Year,3.0,2.9,2.18,Low,6.0,No,2023.0,2.0
78,Emp78,LN78,32,Female,Single,Finance,Accountant,14496,PhD,2007-10-14,Terminated,19.0,Travel_Rarely,Yes,0.0,2115.93,32.0,138.0,10255.0,4.0,1.6666666666666667,1.6666666666666667,4.0,2021.6666666666667,9.0,2023-06-15,Mid-Year,4.0,3.6,2.75,Medium,10.0,No,2023.0,2.0
79,Emp79,LN79,58,Male,Single,Human Resources,HR Specialist,6799,PhD,2015-09-04,Terminated,109.0,Travel_Frequently,Yes,0.0,2117.17,22.0,125.0,10258.0,2.0,3.0,2.0,2.3333333333333335,2021.6666666666667,6.333333333333333,2023-06-15,Mid-Year,4.0,2.92,4.38,Low,10.0,No,2023.0,2.0
80,Emp80,LN80,42,Female,Single,Marketing,SEO Specialist,18489,Master's,2006-08-15,Active,54.0,Non-Travel,Yes,0.0,2115.58,20.0,121.0,10260.5,3.0,4.5,3.5,4.5,2023.0,8.5,2023-06-15,Mid-Year,3.0,2.38,2.59,Low,6.0,No,2023.0,2.0
81,Emp81,LN81,60,Female,Married,Sales,Sales Representative,19708,Master's,2007-07-19,Leave of Absence,124.0,Travel_Rarely,Yes,0.0,2093.67,18.0,120.0,10262.0,4.0,2.0,1.0,3.0,2023.0,3.0,2023-06-15,Mid-Year,4.0,2.4,3.67,Medium,10.0,No,2023.0,2.0
82,Emp82,LN82,23,Nonbinary,Married,R&D,Principal Researcher,7128,PhD,2021-07-30,Leave of Absence,129.0,Travel_Rarely,Yes,0.0,0.0,0.0,0.0,10264.5,4.25,3.75,2.25,2.5,2021.5,7.25,,,0.0,0.0,0.0,,0.0,,0.0,0.0
83,Emp83,LN83,25,Male,Divorced,Finance,Finance Manager,15344,Bachelor's,2021-09-22,Terminated,40.0,Travel_Rarely,Yes,0.0,2074.24,30.0,110.0,10267.0,1.0,2.0,3.0,1.0,2023.0,7.0,2023-06-15,Mid-Year,3.0,1.99,2.81,Medium,6.0,Yes,2023.0,2.0
